Campaign,Campaign Daily Budget,Campaign Type,Networks,Languages,Bid Strategy Type,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,instalaciones especiales,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,instalaciones especiales,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,proyecto de instalaciones especiales,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,proyecto de instalaciones especiales,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,instalaciones especiales construccion,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,instalaciones especiales construccion,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,empresa de instalaciones especiales,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,empresa de instalaciones especiales,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,contratista de instalaciones especiales,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,contratista de instalaciones especiales,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,ingenieria de instalaciones especiales,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,ingenieria de instalaciones especiales,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,proyecto ejecutivo electrico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,proyecto ejecutivo electrico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,proyecto ejecutivo instalaciones,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,proyecto ejecutivo instalaciones,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,memoria de calculo electrico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,memoria de calculo electrico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,planos electricos proyecto,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,planos electricos proyecto,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,diseño de instalaciones electricas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,diseño de instalaciones electricas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,coordinacion de instalaciones obra,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,coordinacion de instalaciones obra,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,llave en mano instalaciones,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,llave en mano instalaciones,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,,,,,Responsive search ad,https://www.omniious.com/instalaciones-especiales,instalaciones,especiales,Instalaciones Especiales CDMX,Proyecto ejecutivo eléctrico,Ingeniería de instalaciones,Memoria de cálculo y planos,Para constructoras,Coordinación con obra,Un solo contratista,"Voz, datos, seguridad y AV",Llave en mano,Documentación completa,Para despachos y gerencias,Desde el proyecto,,,,Proyecto ejecutivo e instalaciones especiales bajo una sola contraparte responsable.,"Voz y datos, seguridad, audio, detección e iluminación, coordinados con la obra.","Memoria de cálculo, planos y documentación para licencia y para operar.","Trabajamos con despachos, constructoras y gerencias de proyecto.",Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,9,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,cctv multisucursal,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,cctv multisucursal,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,videovigilancia corporativa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,videovigilancia corporativa,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,cctv para empresas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,cctv para empresas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,migracion cctv analogico a ip,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,migracion cctv analogico a ip,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,vms videovigilancia empresarial,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,vms videovigilancia empresarial,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,camaras ip corporativas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,camaras ip corporativas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,proyecto de videovigilancia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,proyecto de videovigilancia,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,control de acceso empresas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,control de acceso empresas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,control de acceso corporativo,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,control de acceso corporativo,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,control de acceso por perfiles,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,control de acceso por perfiles,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,control de acceso vehicular,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,control de acceso vehicular,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,CCTV y control de acceso multisitio,,,,,Responsive search ad,https://www.omniious.com/instalaciones-especiales,cctv,corporativo,CCTV Corporativo CDMX,Videovigilancia multisitio,CCTV para varias sucursales,Migración de analógico a IP,Control de acceso por perfiles,VMS empresarial,Estandarizado entre sitios,Ingeniería y certificación,Un solo responsable,Para retail y corporativo,Monitoreo centralizado,,,,,Videovigilancia y control de acceso estandarizados entre todas tus sucursales.,"Migración de analógico a IP con ingeniería, certificación y documentación.","Un solo esquema, un solo proveedor, un solo responsable para todos los sitios.","Retail multisitio, corporativos, salud y educación privadas.",Paused
